,Name,Muscles Worked,Description,Keywords,Starting Weight,Starting Reps
Chest,Bench press,Chest,Lie down on a bench and push the barbell up from your chest,swimming; sexiness;,0,8
,Flat dumbbell press,Chest,Lie down on a bench and push dumbbells up from chest,basketball;,15,8
,Incline bench press,Chest,Sit on a bench that has been inclined to 30 degrees and push barbell up from chest,swimming; sexiness;,0,8
,Incline dumbbell press,Chest,Sit on a bench that has been inclined to 30 degrees and push dumbbell up from chest,basketball;,15,8
,Pec fly machine,Chest,Place forearms behind handles of machine and bring your arms together while maintaining seated position,throwing;,15,8
,Cable flys,Chest,Adjust cables to bottom and start with handles at your side. Pull handles up from sides so that hands are in front of chest.,swimming; throwing; sexiness;,15,8
,Flat dumbbell flys,Chest,Lie down on a bench and start with dumbbells at side of chest; level with the rest of body. Bring dumbbells up so that arms end up fully extended with dumbbells meeting in front of chest.,basketball; throwing,15,8
,Incline dumbbell flys,Chest,Sit on a bench that has been inclined 30 degrees and start with dumbbells at side of chest; level with the rest of body. Bring dumbbells up so that arms end up fully extended with dumbbells meeting in front of chest.,throwing;,15,8
,Chest press machine,Chest,Grab onto handles and push forward while keeping arms parallel to the ground,swimming;,20,8
Arms (Triceps; Biceps; Forearms),Barbell curl,Biceps,Start with barbell in front of the pelvic area with palms facing forward and lift the barbell up to chest without moving body,sexiness;,30,8
,Dumbbell curl,Biceps,Start with dumbbell in front of the pelvic area with palms facing forward and lift the dumbbell up to chest without moving body,swimming; sexiness;,10,8
,Incline dumbbell hammer curl,Biceps,Sit on a bench inclined 30 degrees and bring up dumbbells while keeping them perpendicular to the ground,throwing;,10,8
,Incline dumbbell curl,Biceps,Sit on a bench inclined 30 degrees and bring up dumbells,throwing;,10,8
,Hammer curl,Biceps,Bring up dumbell while keeping it perpendicular to the ground without moving your body,basketball;,10,8
,Preacher curl,Biceps,Rest upper arms and chest comfortably to the preacher bench; then curl the EZ bar to shoulder height while squeezing your biceps,basketball;,10,8
,Dips,Triceps,Hang from a dip bar and lower your body until your arms are bent at a 90 degree angle,basketball; sexiness;,0,8
,Pushups,Triceps,Start lying on the ground with hands on the ground next to chest. Push up while keeping your back parallel to the ground; lifting everything off the ground except your hands and feet,swimming; sexiness;,0,8
,Skullcrushers,Triceps,Lie down on a bench and start with dumbbell behind your head. Lift dumbbell until arms are fully extended in front of chest,throwing;,10,8
,Tricep pulldowns,Triceps,attach rope handle to cable and grab the rope in starting position. Pull down the rope while simultaneously pulling the rope outwards until the arms are fully extended and around the pelvic area,swimming; throwing;,20,8
,Close grip bench press,Triceps,Lie down on a bench placin hands in middle of bar keeping a few inches between them and push the barbell up from your chest,throwing;,0,8
,Overhead dumbbell extension,Triceps,Start with dumbbell behind the head with elbows pointed upward. While maintaining elbow position; lift the dumbbell until it is straight above the head,throwing;,15,8
,Wrist curls,Forearms,Sit on bench with arms rested fully ontop of legs with dumbells in each hand. With palms faced up; turn your wrists up to lift the dumbbell while keeping arms in place,throwing; sexiness;,5,8
,Farmer's walk,Forearms,Lift up dumbells with one in each hand and walk across the room,throwing;,15,8
,Zottman curls,Forearms,With palms facing forward; lift up dumbells to shoulder level. At reaching shoulders; turn the dumbells so that palms face forward; then lower the dumbbells,throwing;,10,8
,Reverse wrist curls,Forearms,Sit on bench with arms rested fully ontop of legs with dumbells in each hand. With palms faced down; turn your wrists up to lift the dumbbell while keeping arms in place,throwing; sexiness;,5,8
,Pullup bar hang,Forearms,Hang on the pullup bar for 30 seconds,throwing;,0,8
,Plate tosses,Forearms,Starting with plate in front of you and hands on the sides of plate; toss the plate forward with caution,throwing;,10,8
,Pinch carries,Forearms,Hold one plate in each hand by gripping the side of each plate and walk across the room,throwing;,10,8
Legs (Quadriceps; Hamstrings; Calves),Calf press machine,Calves,Place feet at bottom part of the leg press machine so that the heels are not on the press. Push toes into machine and lean toes back from machine,jumping; sexiness;,60,8
,Toe raises,Calves,stand on edge of a stair step of box with heels slightly off of the step. Lift body up by lifting heels ,jumping;,0,15
,Jumping jacks,Calves,Start with arms by your side and your legs together. Jump and land with legs spread apart and arms above your head,basketball;,0,15
,Box jumps,Calves,Rapidly jump on and off of a box,jumping; basketball;,0,10
,Bulgarian split squat,Hamstrings,With one foot resting on a bench behind you and the other foot supporting your weight on the ground; lower your body slowly by bending the leg that is touching the ground,throwing;,0,8
,Leg extension,Hamstrings,Place feet behind foot handle and push up with your feet,basketball; swimming;,30,8
,Kneeling leg curl,Hamstrings,Insert feet behind handles and push up with legs,basketball; throwing;,30,8
,Leg press machine,Quadriceps,Place feet on weight and push forward with your legs,swimming;,40,8
,Lunges,Quadriceps,Place one foot three feet in front of the other and lower your back knee until knee is almost touching the ground,swimming; jumping;,0,8
,Step ups,Quadriceps,step up on the box using one leg and with the other leg bring the knee up to waist height standing on top of the box. Place lifted foot back on the ground and lower yourself down to the ground,jumping; sexiness;,0,8
,Squats,Quadriceps,With the weight of the barbell rested and centered on the shoulder; lower your butt to the ground by lowering your knees,swimming; jumping; throwing; sexiness,0,8
Shoulders,Overhead press,Shoulders,Start with barbell held at the chest with palms facing forward. Lift barbell until arms are fully extended perpendicular to the ground,basketball; throwing; sexiness;,0,8
,Shrugs,Shoulders,With weight in each hand resting at your side; shrug your shoulder so that the weights are lifted a few inches from the original position,swimming; basketball; sexiness;,15,8
,Side lateral raise,Shoulders,With dumbbells in each hand resting at your sides; left them up so that the dumbbells are level with your shoulders,swimming; basketball;,5,8
,Upright barbell row,Shoulders,Start with barbell rested against the pelvic area with your hands facing your body holding the barbell near the center. Lift up the barbell to chest height,basketball;,20,8
,Front lateral raise,Shoulders,Start with dumbbell in each hand and palms facing your body in front of your pelvic area. Lift hand straight forward until arms are fully entended forawrd and at chest height,basketball;,5,8
,Dumbbell shoulder press,Shoulders,Start with dumbbell in each hand and hand above shoulders with elbows pointing out to the left and right. Lift dumbbells up until arms are full extended perpendicular to the ground,throwing;,15,8
Abs,Dumbbell side bend,Abs,Start standing with dumbell in one hand with the other hand on your head. Bend sideways to the side opposite of the dumbell ,swimming; ,0,0
,Plank,Abs,Lie down and hoist body up with toes and forearms supporting your weight. Keep your back straight for one minute while keeping your back straight and body stable,swimming; sexiness;,0,0
,Air bike,Abs,Lie down on your back and lift your head with your hand behind it. Lift your legs with and peddle in the air; bringing your knees close to your torso,swimming; basketball;,0,0
,Hanging leg raises,Abs,Hang on a par with your feet off the ground and lift your legs forward while keeping them straight until your legs are parallel to the ground,sexiness;,0,0
,Mountain climbers,Abs,Lie on the ground and prop up your body with hands and feet. Bring one knee up to your chest and inwards toward the other side of your body,basketball; sexiness;,0,0
,Weighted incline crunches,Abs,Hold a plate on your chest while laying on an incline ab bench. Pull yourself up with the weight.,basketball;,25,10
